year,month,adr
2016,January,59.94
2016,January,116.1
2016,January,89.0
2016,January,73.46
2016,January,90.17
2016,January,46.93
2016,January,79.5
2016,January,41.4
2016,January,47.4
2016,January,48.0
2016,January,29.0
2016,January,29.0
2016,January,33.3
2016,January,50.4
2016,January,26.1
2016,January,43.0
2016,January,41.4
2016,January,25.92
2016,January,0.0
2016,January,48.0
2016,January,59.0
2016,January,66.98
2016,January,44.8
2016,January,48.0
2016,January,96.0
2016,January,36.86
2016,January,35.16
2016,January,31.45
2016,January,29.16
2016,January,75.0
2016,February,39.0
2016,February,43.2
2016,February,56.1
2016,February,50.54
2016,February,26.0
2016,February,26.0
2016,February,72.55
2016,February,28.1
2016,February,28.1
2016,February,36.86
2016,February,41.4
2016,February,41.4
2016,February,98.0
2016,February,43.4
2016,February,67.88
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,50.0
2016,February,52.0
2016,February,30.0
2016,February,61.2
2016,February,67.2
2016,February,35.1
2016,February,118.0
2016,February,46.8
2016,February,49.95
2016,February,70.0
2016,February,94.5
2016,February,55.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,0.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,94.5
2016,February,55.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,70.0
2016,February,94.5
2016,February,0.0
2016,February,31.88
2016,February,23.7
2016,February,26.0
2016,February,45.0
2016,February,75.0
2016,February,61.5
2016,February,26.1
2016,February,26.1
2016,February,50.4
2016,February,59.6
2016,February,38.81
2016,February,33.3
2016,February,56.4
2016,February,99.0
2016,February,23.93
2016,February,83.9
2016,February,22.5
2016,February,52.36
2016,February,80.0
2016,February,38.32
2016,February,63.9
2016,February,63.9
2016,February,65.9
2016,February,24.5
2016,February,22.5
2016,February,60.0
2016,February,60.0
2016,February,68.0
2016,February,25.11
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,64.0
2016,February,48.0
2016,March,48.0
2016,March,40.0
2016,March,31.45
2016,March,30.0
2016,March,43.0
2016,March,43.0
2016,March,75.0
2016,March,48.0
2016,March,66.0
2016,March,35.0
2016,March,26.0
2016,March,63.9
2016,March,40.0
2016,March,41.4
2016,March,41.4
2016,March,26.1
2016,March,39.1
2016,March,27.81
2016,March,30.0
2016,March,49.4
2016,March,42.45
2016,March,60.74
2016,March,40.0
2016,March,40.5
2016,March,32.0
2016,March,40.68
2016,March,33.3
2016,March,61.2
2016,March,53.0
2016,March,25.65
2016,March,42.5
2016,March,67.4
2016,March,73.4
2016,March,43.25
2016,March,70.91
2016,March,39.27
2016,March,52.68
2016,March,54.9
2016,March,85.72
2016,March,42.67
2016,March,0.0
2016,March,85.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,113.4
2016,March,56.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,62.0
2016,March,0.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,42.0
2016,March,113.4
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,42.0
2016,March,113.4
2016,March,0.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,56.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,84.0
2016,March,113.4
2016,March,84.0
2016,March,84.0
2016,March,42.0
2016,March,113.4
2016,March,84.0
2016,March,84.0
2016,March,0.0
2016,March,63.0
2016,March,50.4
2016,March,50.4
2016,March,43.7
2016,March,47.97
2016,March,73.29
2016,March,96.0
2016,March,40.0
2016,March,73.0
2016,March,73.0
2016,March,73.0
2016,March,73.0
2016,March,73.0
2016,March,73.0
2016,March,73.0
2016,March,60.0
2016,March,42.0
2016,March,42.0
2016,March,66.0
2016,March,66.0
2016,March,60.0
2016,March,101.0
2016,March,66.0
2016,March,83.5
2016,March,66.0
2016,March,88.0
2016,March,66.0
2016,March,53.94
2016,March,66.0
2016,March,68.0
2016,March,66.0
2016,March,66.0
2016,March,0.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,72.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,72.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,72.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,60.0
2016,March,66.0
2016,March,101.0
2016,March,68.0
2016,March,83.5
2016,March,72.0
2016,March,66.0
2016,March,60.0
2016,March,60.0
2016,March,66.0
2016,March,66.0
2016,March,101.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,60.0
2016,March,60.0
2016,March,67.5
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,60.0
2016,March,60.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,March,66.0
2016,April,60.0
2016,April,41.4
2016,April,41.4
2016,April,41.4
2016,April,60.2
2016,April,52.2
2016,April,42.19
2016,April,42.19
2016,April,58.0
2016,April,75.0
2016,April,0.0
2016,April,0.0
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,42.5
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,0.0
2016,April,52.2
2016,April,70.4
2016,April,71.83
2016,April,0.0
2016,April,118.0
2016,April,47.9
2016,April,47.9
2016,April,74.45
2016,April,45.9
2016,April,74.45
2016,April,74.45
2016,April,74.45
2016,April,74.45
2016,April,45.9
2016,April,72.45
2016,April,74.45
2016,April,74.45
2016,April,74.45
2016,April,47.9
2016,April,47.9
2016,April,72.45
2016,April,11.53
2016,April,72.45
2016,April,42.0
2016,April,52.2
2016,April,52.2
2016,April,108.0
2016,April,52.2
2016,April,62.05
2016,April,65.0
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,42.5
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,102.5
2016,April,85.0
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,0.0
2016,April,67.5
2016,April,80.1
2016,April,37.4
2016,April,58.2
2016,April,56.89
2016,April,83.0
2016,April,42.5
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,87.0
2016,April,85.0
2016,April,85.0
2016,April,0.0
2016,April,85.0
2016,April,85.0
2016,April,87.0
2016,April,54.5
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,54.5
2016,April,85.0
2016,April,85.0
2016,April,87.0
2016,April,54.5
2016,April,54.5
2016,April,85.0
2016,April,48.8
2016,April,46.8
2016,April,41.4
2016,April,48.8
2016,April,48.8
2016,April,68.42
2016,April,62.05
2016,April,62.05
2016,April,78.56
2016,April,52.98
2016,April,46.98
2016,April,58.95
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,0.0
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,85.33
2016,April,122.0
2016,April,49.3
2016,April,40.76
2016,April,41.33
2016,April,56.95
2016,April,30.0
2016,April,46.0
2016,April,46.0
2016,April,30.0
2016,April,30.0
2016,April,82.95
2016,April,83.7
2016,April,79.2
2016,April,39.33
2016,April,56.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,85.0
2016,April,64.83
2016,April,46.98
2016,April,37.4
2016,April,42.3
2016,April,63.4
2016,May,70.4
2016,May,70.0
2016,May,85.0
2016,May,85.0
2016,May,54.5
2016,May,85.0
2016,May,85.0
2016,May,85.0
2016,May,85.0
2016,May,85.0
2016,May,85.0
